template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time,csv_query_status
Diagnose,1,10,10,1000,1000,53854,Diagnose_no_orderby.json,7835,ok
Diagnose_1,2,10,20,1000,2000,36847,Diagnose_no_orderby.json,1185,ok
Diagnose_2,3,10,30,1000,3000,35166,Diagnose_no_orderby.json,1711,ok
Diagnose_3,4,10,40,1000,4000,33332,Diagnose_no_orderby.json,1787,ok
Diagnose_4,5,10,50,1000,5000,32458,Diagnose_no_orderby.json,2062,ok
Diagnose_5,6,10,60,1000,6000,36935,Diagnose_no_orderby.json,1563,ok
Diagnose_6,7,10,70,1000,7000,43542,Diagnose_no_orderby.json,2138,ok
Diagnose_7,8,10,80,1000,8000,39588,Diagnose_no_orderby.json,2353,ok
Diagnose_8,9,10,90,1000,9000,35618,Diagnose_no_orderby.json,2362,ok
Diagnose_9,10,10,100,1000,10000,35554,Diagnose_no_orderby.json,1907,ok
Diagnose_10,11,10,110,1000,11000,36022,Diagnose_no_orderby.json,2769,ok
Diagnose_11,12,10,120,1000,12000,36755,Diagnose_no_orderby.json,2854,ok
Diagnose_12,13,10,130,1000,13000,37570,Diagnose_no_orderby.json,3596,ok
Diagnose_13,14,10,140,1000,14000,39866,Diagnose_no_orderby.json,2719,ok
Diagnose_14,15,10,150,1000,15000,41056,Diagnose_no_orderby.json,2929,ok
Diagnose_15,16,10,160,1000,16000,38478,Diagnose_no_orderby.json,2820,ok
Diagnose_16,17,10,170,1000,17000,38928,Diagnose_no_orderby.json,3642,ok
Diagnose_17,18,10,180,1000,18000,43721,Diagnose_no_orderby.json,3099,ok
Diagnose_18,19,10,190,1000,19000,44233,Diagnose_no_orderby.json,3971,ok
Diagnose_19,20,10,200,1000,20000,42291,Diagnose_no_orderby.json,3522,ok
Diagnose_20,21,10,210,1000,21000,41617,Diagnose_no_orderby.json,3585,ok
Diagnose_21,22,10,220,1000,22000,43312,Diagnose_no_orderby.json,3840,ok
Diagnose_22,23,10,230,1000,23000,43343,Diagnose_no_orderby.json,3854,ok
Diagnose_23,24,10,240,1000,24000,44410,Diagnose_no_orderby.json,4139,ok
Diagnose_24,25,10,250,1000,25000,43914,Diagnose_no_orderby.json,4034,ok
Diagnose_25,26,10,260,1000,26000,44143,Diagnose_no_orderby.json,4386,ok
Diagnose_26,27,10,270,1000,27000,47617,Diagnose_no_orderby.json,4370,ok
Diagnose_27,28,10,280,1000,28000,46097,Diagnose_no_orderby.json,4679,ok
Diagnose_28,29,10,290,1000,29000,46780,Diagnose_no_orderby.json,4548,ok
Diagnose_29,30,10,300,1000,30000,47497,Diagnose_no_orderby.json,4974,ok
Diagnose_30,31,10,310,1000,31000,48297,Diagnose_no_orderby.json,4975,ok
Diagnose_31,32,10,320,1000,32000,47400,Diagnose_no_orderby.json,5500,ok
Diagnose_32,33,10,330,1000,33000,49018,Diagnose_no_orderby.json,5344,ok
Diagnose_33,34,10,340,1000,34000,50384,Diagnose_no_orderby.json,5630,ok
Diagnose_34,35,10,350,1000,35000,50455,Diagnose_no_orderby.json,5430,ok
Diagnose_35,36,10,360,1000,36000,50917,Diagnose_no_orderby.json,5532,ok
Diagnose_36,37,10,370,1000,37000,52318,Diagnose_no_orderby.json,6276,ok
Diagnose_37,38,10,380,1000,38000,52611,Diagnose_no_orderby.json,6221,ok
Diagnose_38,39,10,390,1000,39000,55405,Diagnose_no_orderby.json,6400,ok
Diagnose_39,40,10,400,1000,40000,55419,Diagnose_no_orderby.json,6666,ok
Diagnose_40,41,10,410,1000,41000,56365,Diagnose_no_orderby.json,6539,ok
Diagnose_41,42,10,420,1000,42000,57278,Diagnose_no_orderby.json,6741,ok
Diagnose_42,43,10,430,1000,43000,58334,Diagnose_no_orderby.json,7070,ok
Diagnose_43,44,10,440,1000,44000,57341,Diagnose_no_orderby.json,6785,ok
Diagnose_44,45,10,450,1000,45000,58689,Diagnose_no_orderby.json,7398,ok
Diagnose_45,46,10,460,1000,46000,59501,Diagnose_no_orderby.json,7674,ok
Diagnose_46,47,10,470,1000,47000,59463,Diagnose_no_orderby.json,7715,ok
