template_id,template_accum,ehrs_created,ehrs_accum,compositions_committed,compositions_accum,compositions_commit_time,query,query_execution_time_avg,query_execution_time_min,query_execution_time_max,csv_query_status
Diagnose,1,10,10,500,500,34251,Diagnose_no_orderby.json,1319.5,419,8296,ok
Diagnose_1,2,10,20,500,1000,22862,Diagnose_no_orderby.json,1135.2,419,8296,ok
Diagnose_2,3,10,30,500,1500,18809,Diagnose_no_orderby.json,1244.3,419,8296,ok
Diagnose_3,4,10,40,500,2000,19406,Diagnose_no_orderby.json,1172.9,419,8296,ok
Diagnose_4,5,10,50,500,2500,17959,Diagnose_no_orderby.json,1121.6,419,8296,ok
Diagnose_5,6,10,60,500,3000,17565,Diagnose_no_orderby.json,1343.5,419,8296,ok
Diagnose_6,7,10,70,500,3500,17509,Diagnose_no_orderby.json,1570.3,419,8296,ok
Diagnose_7,8,10,80,500,4000,16580,Diagnose_no_orderby.json,1652.4,419,8296,ok
Diagnose_8,9,10,90,500,4500,16901,Diagnose_no_orderby.json,1770.2,419,8296,ok
Diagnose_9,10,10,100,500,5000,16373,Diagnose_no_orderby.json,2063.9,419,8296,ok
Diagnose_10,11,10,110,500,5500,17542,Diagnose_no_orderby.json,2188.3,419,8296,ok
Diagnose_11,12,10,120,500,6000,16622,Diagnose_no_orderby.json,2364.9,419,8296,ok
Diagnose_12,13,10,130,500,6500,16870,Diagnose_no_orderby.json,3088.7,419,8296,ok
Diagnose_13,14,10,140,500,7000,17097,Diagnose_no_orderby.json,2657.7,419,8296,ok
Diagnose_14,15,10,150,500,7500,17548,Diagnose_no_orderby.json,3236.1,419,8296,ok
Diagnose_15,16,10,160,500,8000,17787,Diagnose_no_orderby.json,3088.5,419,8296,ok
Diagnose_16,17,10,170,500,8500,17741,Diagnose_no_orderby.json,3051.3,419,8296,ok
Diagnose_17,18,10,180,500,9000,19008,Diagnose_no_orderby.json,3177.2,419,8296,ok
Diagnose_18,19,10,190,500,9500,17073,Diagnose_no_orderby.json,3081.9,419,8296,ok
Diagnose_19,20,10,200,500,10000,16652,Diagnose_no_orderby.json,3231.4,419,8296,ok
Diagnose_20,21,10,210,500,10500,16765,Diagnose_no_orderby.json,3345.6,419,8296,ok
Diagnose_21,22,10,220,500,11000,16742,Diagnose_no_orderby.json,3555.6,419,8296,ok
Diagnose_22,23,10,230,500,11500,17352,Diagnose_no_orderby.json,3722.1,419,8296,ok
Diagnose_23,24,10,240,500,12000,17262,Diagnose_no_orderby.json,3937.5,419,8296,ok
Diagnose_24,25,10,250,500,12500,17244,Diagnose_no_orderby.json,4046.9,419,8296,ok
Diagnose_25,26,10,260,500,13000,17689,Diagnose_no_orderby.json,4388.5,419,8296,ok
Diagnose_26,27,10,270,500,13500,18544,Diagnose_no_orderby.json,4322.3,419,8296,ok
Diagnose_27,28,10,280,500,14000,17601,Diagnose_no_orderby.json,4473.7,419,8296,ok
Diagnose_28,29,10,290,500,14500,17809,Diagnose_no_orderby.json,4597.7,419,8296,ok
Diagnose_29,30,10,300,500,15000,18041,Diagnose_no_orderby.json,4856.8,419,8296,ok
Diagnose_30,31,10,310,500,15500,18226,Diagnose_no_orderby.json,5103.5,419,8296,ok
Diagnose_31,32,10,320,500,16000,18454,Diagnose_no_orderby.json,5063.7,419,8296,ok
Diagnose_32,33,10,330,500,16500,18617,Diagnose_no_orderby.json,5292.0,419,8296,ok
Diagnose_33,34,10,340,500,17000,18917,Diagnose_no_orderby.json,5346.8,419,8296,ok
Diagnose_34,35,10,350,500,17500,18837,Diagnose_no_orderby.json,5616.1,419,8296,ok
Diagnose_35,36,10,360,500,18000,18893,Diagnose_no_orderby.json,5699.7,419,8296,ok
Diagnose_36,37,10,370,500,18500,19576,Diagnose_no_orderby.json,5888.1,419,8296,ok
Diagnose_37,38,10,380,500,19000,19511,Diagnose_no_orderby.json,6021.3,419,8296,ok
Diagnose_38,39,10,390,500,19500,19439,Diagnose_no_orderby.json,6341.3,419,8296,ok
Diagnose_39,40,10,400,500,20000,19586,Diagnose_no_orderby.json,6236.7,419,8296,ok
Diagnose_40,41,10,410,500,20500,19352,Diagnose_no_orderby.json,6463.3,419,8296,ok
Diagnose_41,42,10,420,500,21000,19670,Diagnose_no_orderby.json,6666.0,419,8296,ok
Diagnose_42,43,10,430,500,21500,20280,Diagnose_no_orderby.json,6785.3,419,8296,ok
Diagnose_43,44,10,440,500,22000,20156,Diagnose_no_orderby.json,6897.5,419,8296,ok
Diagnose_44,45,10,450,500,22500,22199,Diagnose_no_orderby.json,7227.9,419,8296,ok
Diagnose_45,46,10,460,500,23000,20699,Diagnose_no_orderby.json,7310.6,419,8296,ok
Diagnose_46,47,10,470,500,23500,20794,Diagnose_no_orderby.json,7352.6,419,8296,ok
Diagnose_47,48,10,480,500,24000,20903,Diagnose_no_orderby.json,7512.4,419,8296,ok
Diagnose_48,49,10,490,500,24500,21700,Diagnose_no_orderby.json,7727.2,419,8296,ok
Diagnose_49,50,10,500,500,25000,21535,Diagnose_no_orderby.json,7871.7,419,8296,ok
